Id;Genre;Probabilities
Xv6O0tEBJ28;Entertainment; {'10': 0.30000000000000004, '24': 0.35000000000000003, '22': 0.35000000000000003}
jOad6DNuFzs;Entertainment; {'24': 0.7999999999999999, '10': 0.1, '28': 0.1}
u3-5S2hJh6U;Music; {'10': 0.7, '24': 0.2, '27': 0.1}
2LjNWZ4mJkU;Music; {'25': 0.2, '24': 0.1, '10': 0.4, '22': 0.30000000000000004}
rtz-a8-NO9I;Entertainment; {'24': 0.7, '27': 0.1, '22': 0.1, '10': 0.1}
PyEOh-Zv8eE;Entertainment; {'10': 0.4, '24': 0.6}
bBKnQOmw4nQ;Entertainment; {'24': 0.75, '22': 0.2, '10': 0.05}
46_alQTaT1g;Entertainment; {'24': 0.2, '22': 0.30000000000000004, '10': 0.30000000000000004, '17': 0.1, '26': 0.1}
E65giHLKi34;News & Politics; {'22': 0.2, '24': 0.6, '25': 0.1, '10': 0.1}
ZEK0cCY9cqM;People & Blogs; {'24': 0.45, '10': 0.4, '27': 0.05, '25': 0.1}
KH2dzYFw2R4;Entertainment; {'24': 0.6, '10': 0.30000000000000004, '22': 0.1}
