Source,Target,weight
kabsFD3X4Gs,FR3kYWZ-274,1
kabsFD3X4Gs,P19UieRRv60,1
kabsFD3X4Gs,kzcHEt_Z6cg,1
FR3kYWZ-274,h8nsRyEhDJA,1
FR3kYWZ-274,pvje2UPCyJs,2
FR3kYWZ-274,hTaGHblq3cQ,1
FR3kYWZ-274,rHWm3J1sy8M,1
FR3kYWZ-274,3qH440xVOmI,1
FR3kYWZ-274,-MhJd1-83dM,1
FR3kYWZ-274,Gcz9Z32wWSQ,1
FR3kYWZ-274,79-tTP0F3SI,1
h8nsRyEhDJA,bYJPswt6S8g,1
h8nsRyEhDJA,fxAzeuobV7k,1
h8nsRyEhDJA,E7xqJ89wy6w,1
h8nsRyEhDJA,GZrKHf8O8zI,1
h8nsRyEhDJA,bJ49_PmVxL8,1
h8nsRyEhDJA,VPfjbgyPbVA,1
h8nsRyEhDJA,lt3TkSI9EaE,1
h8nsRyEhDJA,7TGc8mWl0Ks,1
h8nsRyEhDJA,PQ8LW0dmGBU,1
GZrKHf8O8zI,h8nsRyEhDJA,1
GZrKHf8O8zI,qsHJ3LvUWTs,1
GZrKHf8O8zI,P7xplD5B518,1
bYJPswt6S8g,Lgu6-CWGUhs,1
bYJPswt6S8g,J0SD9-_zLVM,1
bYJPswt6S8g,3qH440xVOmI,2
bYJPswt6S8g,EgVGNw6F7eY,2
bYJPswt6S8g,kzcHEt_Z6cg,1
bYJPswt6S8g,VIcMAsQglDU,1
bYJPswt6S8g,TJ3M-2z_FVo,1
bYJPswt6S8g,P19UieRRv60,1
bYJPswt6S8g,wXHnoXvSJKY,1
bYJPswt6S8g,WvqGKBm2pCA,1
bYJPswt6S8g,6AREgmqPdro,1
bYJPswt6S8g,N7rJe2kNUn0,1
bYJPswt6S8g,ZQGFr_AMG9A,1
Lgu6-CWGUhs,bYJPswt6S8g,1
Lgu6-CWGUhs,jd3fuKash80,1
Lgu6-CWGUhs,5Pza8R5xT74,1
J0SD9-_zLVM,b5G71XWQ72Q,3
J0SD9-_zLVM,XyQAQeHZwAs,1
J0SD9-_zLVM,hTaGHblq3cQ,1
J0SD9-_zLVM,bYJPswt6S8g,2
J0SD9-_zLVM,ZzTxstr4_VY,3
J0SD9-_zLVM,Qn2anexHPiI,1
J0SD9-_zLVM,rHWm3J1sy8M,1
3qH440xVOmI,Hw7064YkIo4,1
3qH440xVOmI,XyQAQeHZwAs,1
3qH440xVOmI,sUswafU2CaM,1
fxAzeuobV7k,b5G71XWQ72Q,1
fxAzeuobV7k,ih97Stt-S0g,1
fxAzeuobV7k,FR3kYWZ-274,1
b5G71XWQ72Q,Zxkprwg6gzk,1
b5G71XWQ72Q,5cUjgTRBOUc,1
b5G71XWQ72Q,z6ewpcDZEh8,2
b5G71XWQ72Q,tNiuZHsXDas,2
b5G71XWQ72Q,__JFeoChvu8,3
b5G71XWQ72Q,srnI_fxmQa0,2
b5G71XWQ72Q,T-4EbZsFFiU,1
b5G71XWQ72Q,SuCwCV0MOmc,1
b5G71XWQ72Q,V9IrE3AEnPA,1
b5G71XWQ72Q,fYnhgSL6Qsg,1
E7xqJ89wy6w,69qUeLtzhOA,1
E7xqJ89wy6w,53gEN4M1IqI,1
E7xqJ89wy6w,gDIuFyJclk4,1
69qUeLtzhOA,RlKiYeERt34,1
69qUeLtzhOA,-MhJd1-83dM,1
69qUeLtzhOA,dO3G2sOEkzE,1
qsHJ3LvUWTs,q4zZ2ker1iI,2
qsHJ3LvUWTs,vdHJjbHwR38,1
qsHJ3LvUWTs,fFFSKedy9f4,1
qsHJ3LvUWTs,MnUfXYGtT5Q,1
qsHJ3LvUWTs,fIEKfr9CaZA,1
q4zZ2ker1iI,ZmR2c8pSVJ8,1
q4zZ2ker1iI,xlk3pMEM6xs,1
q4zZ2ker1iI,vdHJjbHwR38,1
vdHJjbHwR38,dwW1fs9wpSM,1
vdHJjbHwR38,syP-OtdCIho,1
vdHJjbHwR38,o6Xy5EP77to,1
fFFSKedy9f4,IporlmXXDeY,1
fFFSKedy9f4,hKUffHXOb8U,1
fFFSKedy9f4,NGIP-3Q-p_s,1
P7xplD5B518,-MhJd1-83dM,1
P7xplD5B518,W65-INPMrQI,1
P7xplD5B518,wlf_VaLoln4,1
-MhJd1-83dM,cZrdbVkPwYk,6
-MhJd1-83dM,lavBsWdkZNM,2
-MhJd1-83dM,J0SD9-_zLVM,3
-MhJd1-83dM,yK-Uz-bJwv0,3
-MhJd1-83dM,3-uD_VRlWEw,4
-MhJd1-83dM,ZFTMsxKUaUk,2
-MhJd1-83dM,9z5CwqNwkKE,2
-MhJd1-83dM,8hWFeGS2xiE,3
-MhJd1-83dM,bQWZZehXBD8,1
-MhJd1-83dM,rHWm3J1sy8M,2
-MhJd1-83dM,WwitcZgcFOc,1
-MhJd1-83dM,0yNFOdeCCd8,1
-MhJd1-83dM,3i4y3RPPUHo,3
-MhJd1-83dM,3WRtb0wRy7w,1
-MhJd1-83dM,0Ges2WFOnZ4,2
-MhJd1-83dM,SFRXMeqfTbs,1
-MhJd1-83dM,Ji0OwLW5uyY,1
-MhJd1-83dM,S0nlw4c5nf8,1
-MhJd1-83dM,T3oz0XtQXng,1
-MhJd1-83dM,-BqoTQv1PFA,1
-MhJd1-83dM,uCH6ut-mCiI,1
cZrdbVkPwYk,3WRtb0wRy7w,1
cZrdbVkPwYk,lavBsWdkZNM,1
cZrdbVkPwYk,0gNvxGEHKU8,1
cZrdbVkPwYk,yK-Uz-bJwv0,1
cZrdbVkPwYk,T3oz0XtQXng,1
cZrdbVkPwYk,0yNFOdeCCd8,1
lavBsWdkZNM,S0nlw4c5nf8,1
lavBsWdkZNM,sy6n-OgR6YM,1
lavBsWdkZNM,haLs3E2jVZI,1
W65-INPMrQI,yAg3HafsITY,1
W65-INPMrQI,zSbgRvgrTk8,1
W65-INPMrQI,-L3aTPyZdRw,1
wlf_VaLoln4,-MhJd1-83dM,1
wlf_VaLoln4,vyhP1wEV4nY,1
wlf_VaLoln4,tCraywz7OYw,1
bJ49_PmVxL8,ASpoFYqsI6o,1
bJ49_PmVxL8,y6sKksh8zlQ,1
bJ49_PmVxL8,OWDcxxLTjS4,1
ASpoFYqsI6o,8hWFeGS2xiE,1
ASpoFYqsI6o,Qn2anexHPiI,1
ASpoFYqsI6o,ZFTMsxKUaUk,1
8hWFeGS2xiE,Qn2anexHPiI,1
8hWFeGS2xiE,QO4ghAdrEJI,2
8hWFeGS2xiE,9tldFKMymZE,1
8hWFeGS2xiE,ZzTxstr4_VY,1
8hWFeGS2xiE,T3oz0XtQXng,1
Qn2anexHPiI,3-uD_VRlWEw,1
