Source,Target,weight
9C_HReR_McQ,9Ux2ZxSXePs,3
9C_HReR_McQ,ehin5H3gheo,3
9C_HReR_McQ,zGGA74Ie0aQ,3
9Ux2ZxSXePs,dop4MTlf_zc,3
9Ux2ZxSXePs,G9FGgwCQ22w,3
9Ux2ZxSXePs,40R49TvD_FM,3
9Ux2ZxSXePs,fCu3XMT2ncU,3
9Ux2ZxSXePs,VAa4aI5wKLo,3
9Ux2ZxSXePs,-VImXbxLlWo,3
9Ux2ZxSXePs,3cRoSQYjp0w,3
dop4MTlf_zc,U3XxZ7d4lLE,3
dop4MTlf_zc,nv99gj1xxWw,3
dop4MTlf_zc,x7SQaDTSrVg,3
U3XxZ7d4lLE,jEfDqfMYEoA,3
U3XxZ7d4lLE,SNQ9yX9YjFc,3
U3XxZ7d4lLE,YZSgK9vrYdA,3
jEfDqfMYEoA,rPZ7IsayFXY,3
jEfDqfMYEoA,lB8-mjgprzM,3
jEfDqfMYEoA,RyHo15EyGcE,3
SNQ9yX9YjFc,gno_P6RCTjg,3
SNQ9yX9YjFc,w79L-OzhYu0,3
SNQ9yX9YjFc,iB7dJWZq2So,3
YZSgK9vrYdA,ZEQ-zlni4hc,3
YZSgK9vrYdA,hcfTbYEgFas,3
YZSgK9vrYdA,zFYFMuxpPlM,3
nv99gj1xxWw,AAk1Dqk8iJM,3
nv99gj1xxWw,xc8e0ASIZyQ,3
nv99gj1xxWw,lOG_UtLxh58,3
AAk1Dqk8iJM,7yKjkCFQM0g,3
AAk1Dqk8iJM,xUu7cY1tg0c,3
AAk1Dqk8iJM,sLbhLsbZ7kw,3
xc8e0ASIZyQ,r8-jDt0opDQ,3
xc8e0ASIZyQ,XgZFUaY_kq0,3
xc8e0ASIZyQ,6byUUq2UplM,3
lOG_UtLxh58,dop4MTlf_zc,3
lOG_UtLxh58,YZSgK9vrYdA,3
lOG_UtLxh58,0p8LESE9Vns,3
x7SQaDTSrVg,mPZkdNFkNps,3
x7SQaDTSrVg,c1XOgrBz6sU,3
x7SQaDTSrVg,pD2YLmkcXrE,3
mPZkdNFkNps,b_U3i7cbCxM,3
mPZkdNFkNps,lenbvHiQ5s4,3
mPZkdNFkNps,zCpjiujt3_8,3
c1XOgrBz6sU,P3Wg0QKsb-M,3
c1XOgrBz6sU,7JyE47-Ykjo,3
c1XOgrBz6sU,AMNyQds2ABQ,3
pD2YLmkcXrE,hwsEjtlr9yw,3
pD2YLmkcXrE,QHYYm3LTZOQ,3
pD2YLmkcXrE,q0n-7XWYxhs,3
VAa4aI5wKLo,xVaToJSLA2Y,3
VAa4aI5wKLo,9Ux2ZxSXePs,3
VAa4aI5wKLo,-dGkkMdIwOc,3
xVaToJSLA2Y,JcpboMScfIY,3
xVaToJSLA2Y,afCRuGS5zJo,3
xVaToJSLA2Y,q1CrYYF58RA,3
JcpboMScfIY,NU4MgeOb-cc,3
JcpboMScfIY,NGbuZ-65Qz8,3
JcpboMScfIY,mTn_rmpDCV8,3
afCRuGS5zJo,XqrhWGLUkZ4,3
afCRuGS5zJo,c-2Tjm2M2cg,3
afCRuGS5zJo,54avjfIu1OI,3
q1CrYYF58RA,ARoP4GNgKVg,3
q1CrYYF58RA,WHMfxoTQ96Y,3
q1CrYYF58RA,m-_GFcWr0lI,3
G9FGgwCQ22w,vtkGtXtDlQA,3
G9FGgwCQ22w,9Ux2ZxSXePs,3
G9FGgwCQ22w,TnQ_VkHj7jU,3
G9FGgwCQ22w,VAa4aI5wKLo,3
G9FGgwCQ22w,sXOdn6vLCuU,3
G9FGgwCQ22w,dbL-NSkXnl8,3
G9FGgwCQ22w,w45Vc3uv1Yk,3
40R49TvD_FM,VEe_yIbW64w,3
40R49TvD_FM,INKv3X2qlGI,3
40R49TvD_FM,K3Qzzggn--s,3
fCu3XMT2ncU,cvgzy-PiAIk,3
fCu3XMT2ncU,fOzvI3x8eko,3
fCu3XMT2ncU,9Ux2ZxSXePs,3
fCu3XMT2ncU,h2Vr9Hx12Zk,3
fCu3XMT2ncU,G9FGgwCQ22w,3
-dGkkMdIwOc,eZXf3p1S5Tk,3
-dGkkMdIwOc,HzzCmQin7Mk,3
-dGkkMdIwOc,kHTcoPoAnys,3
eZXf3p1S5Tk,TiYEKDQZ5sk,3
eZXf3p1S5Tk,gaFdVG503rw,3
eZXf3p1S5Tk,7Ri8PK0oaQE,3
HzzCmQin7Mk,kHTcoPoAnys,3
HzzCmQin7Mk,TQtf15j7Mug,3
HzzCmQin7Mk,5jh9JSzNbOA,3
kHTcoPoAnys,CqdE2EKhJG4,3
kHTcoPoAnys,6WV-Y8CeluQ,3
kHTcoPoAnys,HzzCmQin7Mk,3
-VImXbxLlWo,fCu3XMT2ncU,3
-VImXbxLlWo,n9wOS-EvGaw,3
-VImXbxLlWo,UTlGQDF4aTQ,3
h2Vr9Hx12Zk,Edaj8u_44n4,3
h2Vr9Hx12Zk,6BOLT6I1nYU,3
h2Vr9Hx12Zk,DTbfw8_SMmI,3
n9wOS-EvGaw,MIDRPnUumaM,3
n9wOS-EvGaw,XYZolVGULg8,3
n9wOS-EvGaw,rmcnhYW-ImE,3
MIDRPnUumaM,ScF3tf2DgTM,3
MIDRPnUumaM,_SJn60t6bfI,3
MIDRPnUumaM,ILGED2zO8fw,3
XYZolVGULg8,VD2g6KD1cmg,3
XYZolVGULg8,HdVRyOX6S4A,3
XYZolVGULg8,_7X6Yeydgyg,3
rmcnhYW-ImE,giVk_2aqzLY,3
rmcnhYW-ImE,biwGYg7GwmA,3
rmcnhYW-ImE,lVJSMjWx8uA,3
UTlGQDF4aTQ,G9FGgwCQ22w,3
UTlGQDF4aTQ,w45Vc3uv1Yk,3
