Source,Target,weight
NKiMoM0dO1Q,3pXUWufkpoY,6
NKiMoM0dO1Q,423h9r0SGh4,6
NKiMoM0dO1Q,7LuTGEtWKf0,6
NKiMoM0dO1Q,hVsZZp3wccM,6
NKiMoM0dO1Q,KZbC8IVWFNM,6
NKiMoM0dO1Q,_GSZIchOt0o,6
NKiMoM0dO1Q,I_yA295MU_U,6
7LuTGEtWKf0,GLw3TPRtegg,6
7LuTGEtWKf0,E3te2FP6AWg,6
7LuTGEtWKf0,NKiMoM0dO1Q,6
7LuTGEtWKf0,yhazVoVCtZU,6
GLw3TPRtegg,QZGlhkeehZ4,6
GLw3TPRtegg,TTSEDCpMI90,6
GLw3TPRtegg,Bz4eYfZ3t3k,6
GLw3TPRtegg,-ddVcTFS87A,6
GLw3TPRtegg,ZlraBkzeit4,6
GLw3TPRtegg,axtgFRvTEwM,6
GLw3TPRtegg,1_y312JINYY,6
GLw3TPRtegg,159idhAvpgU,6
GLw3TPRtegg,nQIplI1FocU,6
QZGlhkeehZ4,QrH28LslpWM,6
QZGlhkeehZ4,ZDfAUECD_tY,6
QZGlhkeehZ4,5AObrH_wWBE,6
QZGlhkeehZ4,s1VkPy8y7gw,6
QZGlhkeehZ4,b76ESyLsSlc,6
QZGlhkeehZ4,WPbRIaTXMpw,6
QZGlhkeehZ4,bcY6hWJcky8,6
QZGlhkeehZ4,sctcpoCjIa4,6
QZGlhkeehZ4,KZbC8IVWFNM,6
QZGlhkeehZ4,1gl__LLKMIs,6
QZGlhkeehZ4,qgpUibSQM7U,6
QrH28LslpWM,HR4YBpLYb-8,6
QrH28LslpWM,3lOX7K8_cHM,6
QrH28LslpWM,HHI8KAzlCKo,6
QrH28LslpWM,K4fz0PAqzfo,6
QrH28LslpWM,ALRLKWBuZ2w,6
QrH28LslpWM,BKGolXvWVcs,6
ZDfAUECD_tY,S8gCAIABPM0,6
ZDfAUECD_tY,QrXm2U8dfOo,6
ZDfAUECD_tY,0X3DRFa11dk,6
QrXm2U8dfOo,Lnlz6WGQ7Ec,6
QrXm2U8dfOo,s1VkPy8y7gw,6
QrXm2U8dfOo,E3te2FP6AWg,6
QrXm2U8dfOo,BcChay1nXss,6
QrXm2U8dfOo,QZGlhkeehZ4,6
QrXm2U8dfOo,nQIplI1FocU,6
QrXm2U8dfOo,aK44gov4ELc,6
QrXm2U8dfOo,-LGLBZxEd_A,6
QrXm2U8dfOo,UnW52iopZcw,6
5AObrH_wWBE,gfkfu5bWIlc,6
5AObrH_wWBE,1U7M1mEMvsU,6
5AObrH_wWBE,QZGlhkeehZ4,6
1U7M1mEMvsU,E3te2FP6AWg,6
1U7M1mEMvsU,xfNplafuxz0,6
1U7M1mEMvsU,0wu_HivF83o,6
1U7M1mEMvsU,KZbC8IVWFNM,6
1U7M1mEMvsU,0FVqjhi1qqM,6
1U7M1mEMvsU,nQIplI1FocU,6
1U7M1mEMvsU,1ukD56qosRA,6
1U7M1mEMvsU,CQAOrnIn6Kk,6
1U7M1mEMvsU,QrXm2U8dfOo,6
1U7M1mEMvsU,hVsZZp3wccM,6
TTSEDCpMI90,159idhAvpgU,6
TTSEDCpMI90,SatDmzzuYqU,6
TTSEDCpMI90,axtgFRvTEwM,6
159idhAvpgU,EskpU46thdg,6
159idhAvpgU,TxfcHGQE6xI,6
159idhAvpgU,JqDD6XVLj2k,6
EskpU46thdg,PdFB7q89_3U,6
EskpU46thdg,QrXm2U8dfOo,6
EskpU46thdg,SatDmzzuYqU,6
TxfcHGQE6xI,osjUBFesIhA,6
TxfcHGQE6xI,rPjcpMJ5TNU,6
TxfcHGQE6xI,u8AILJeugrs,6
SatDmzzuYqU,b76ESyLsSlc,6
SatDmzzuYqU,25RVrrogfyg,6
SatDmzzuYqU,TTSEDCpMI90,6
b76ESyLsSlc,s1VkPy8y7gw,6
b76ESyLsSlc,TxfcHGQE6xI,6
b76ESyLsSlc,WQE1lKCfFgM,6
b76ESyLsSlc,osjUBFesIhA,6
b76ESyLsSlc,QrXm2U8dfOo,6
b76ESyLsSlc,BcChay1nXss,6
axtgFRvTEwM,EskpU46thdg,6
axtgFRvTEwM,ZlraBkzeit4,6
axtgFRvTEwM,S5FaiokJEss,6
Bz4eYfZ3t3k,nQIplI1FocU,6
Bz4eYfZ3t3k,EskpU46thdg,6
Bz4eYfZ3t3k,Umm0kxOx3FI,6
nQIplI1FocU,aK44gov4ELc,6
nQIplI1FocU,Pg1QPuXBnMw,6
nQIplI1FocU,2tTOJvw6EQA,6
nQIplI1FocU,hVsZZp3wccM,6
nQIplI1FocU,xfNplafuxz0,6
nQIplI1FocU,RZqqsy4WCdc,6
nQIplI1FocU,NSUjXhWuGSc,6
aK44gov4ELc,0nbJB56Lrrc,6
aK44gov4ELc,VhMpWj6rlp8,6
aK44gov4ELc,0FVqjhi1qqM,6
aK44gov4ELc,QZGlhkeehZ4,6
aK44gov4ELc,hVsZZp3wccM,6
aK44gov4ELc,QrXm2U8dfOo,6
aK44gov4ELc,ssK20zswczM,6
aK44gov4ELc,ARoCpelSF70,6
aK44gov4ELc,35YHvoNXxAA,6
aK44gov4ELc,osjUBFesIhA,6
aK44gov4ELc,nQIplI1FocU,6
