Source,Target,weight
wTdRiedQJPI,ji-7r4v5Bzs,1
wTdRiedQJPI,-nHuK75NV0Q,1
wTdRiedQJPI,hTaGHblq3cQ,1
ji-7r4v5Bzs,dHlc6fiiXwA,1
ji-7r4v5Bzs,setn9NsNXBw,1
ji-7r4v5Bzs,9e3KJnHBboE,2
ji-7r4v5Bzs,J0SD9-_zLVM,1
ji-7r4v5Bzs,m4_fPCT0Vd4,1
dHlc6fiiXwA,G1YSfHWHM44,1
dHlc6fiiXwA,6yq1sO8hTQ0,2
dHlc6fiiXwA,qbSjk6oGg9s,3
dHlc6fiiXwA,9e3KJnHBboE,2
dHlc6fiiXwA,xiwrpXTURY4,1
dHlc6fiiXwA,C6Vz5ENORiw,2
dHlc6fiiXwA,DWPia79SoPg,1
G1YSfHWHM44,c8VcUnz3nVc,1
G1YSfHWHM44,xiRrmMeu4gc,1
G1YSfHWHM44,aqipiqO1m4U,1
c8VcUnz3nVc,flgwsL1wAcE,1
c8VcUnz3nVc,GBfRk5v5YGU,1
c8VcUnz3nVc,UYvmvr5_smQ,1
flgwsL1wAcE,HTri8y9Ia5E,1
flgwsL1wAcE,wtt-uPS_VhU,1
flgwsL1wAcE,S54Xb0OtArE,1
GBfRk5v5YGU,c8VcUnz3nVc,1
GBfRk5v5YGU,7fJdnXABBv0,1
GBfRk5v5YGU,pW8zfDIfQK4,1
UYvmvr5_smQ,sYbEeoXqDeI,1
UYvmvr5_smQ,9bqk6ZUsKyA,1
UYvmvr5_smQ,034d3YsSxHw,1
xiRrmMeu4gc,pOrSwH0so-U,1
xiRrmMeu4gc,m9NYUPL9o3E,1
xiRrmMeu4gc,GXKM_2RZpbY,1
pOrSwH0so-U,ofOqUMeEwu8,1
pOrSwH0so-U,ADm5_sZKTVs,1
pOrSwH0so-U,oR7v-enA428,1
m9NYUPL9o3E,NkNQJHbq7Ok,1
m9NYUPL9o3E,UnW52iopZcw,1
m9NYUPL9o3E,NuE-2yHiCm0,1
NuE-2yHiCm0,XSewSzvWU_g,1
NuE-2yHiCm0,gJnH_4pJkUk,1
NuE-2yHiCm0,8D3riv3RhRc,1
NuE-2yHiCm0,an3G7F6k6GU,1
NuE-2yHiCm0,mF27I-YP4lU,1
NuE-2yHiCm0,wqIhyCmThiw,1
GXKM_2RZpbY,NPMoSvKhafY,1
GXKM_2RZpbY,o0hXy8qWa4w,1
GXKM_2RZpbY,3OfSCVmIrPU,1
aqipiqO1m4U,rJylehVPGkw,1
aqipiqO1m4U,P0c2mrOBUzY,1
aqipiqO1m4U,_Nb_J9FMVJs,1
rJylehVPGkw,PGg3NUNQ-jQ,1
rJylehVPGkw,4OOi7xkl8K4,1
rJylehVPGkw,gF4uXGcliu8,1
P0c2mrOBUzY,hgTwmINZ_tQ,1
P0c2mrOBUzY,_Nb_J9FMVJs,1
P0c2mrOBUzY,LxiHUYVOjxA,1
_Nb_J9FMVJs,vHfPJ1-ERIQ,1
_Nb_J9FMVJs,OSXbYwoCc5Y,1
_Nb_J9FMVJs,YQB6-F2TnAc,1
6yq1sO8hTQ0,c8qjgmJzNl8,1
6yq1sO8hTQ0,9e3KJnHBboE,1
6yq1sO8hTQ0,YtQTxjIsNY8,1
6yq1sO8hTQ0,qbSjk6oGg9s,2
6yq1sO8hTQ0,dHlc6fiiXwA,2
6yq1sO8hTQ0,NuE-2yHiCm0,1
6yq1sO8hTQ0,dZxH139j6os,1
c8qjgmJzNl8,y-OKi8oSNQ4,1
c8qjgmJzNl8,S6spZdzqFxg,1
c8qjgmJzNl8,pMtqDWUpJds,1
c8qjgmJzNl8,AOP227UmNLY,1
c8qjgmJzNl8,klhwjkdRwZc,1
c8qjgmJzNl8,RRnnLM9kAfg,1
y-OKi8oSNQ4,V7-mcjR59a4,1
y-OKi8oSNQ4,pMtqDWUpJds,1
y-OKi8oSNQ4,60gCK0zCZO8,1
pMtqDWUpJds,FdOAb8YxZ74,1
pMtqDWUpJds,KHDDtFgF2YU,1
pMtqDWUpJds,H0EXxtVKyD8,1
S6spZdzqFxg,qi5zwQzNnnk,1
S6spZdzqFxg,TrP8RfV3Od0,1
S6spZdzqFxg,zozvECWvcjk,1
9e3KJnHBboE,NuE-2yHiCm0,2
9e3KJnHBboE,-ica9Wn7470,1
9e3KJnHBboE,qbSjk6oGg9s,2
9e3KJnHBboE,6yq1sO8hTQ0,1
9e3KJnHBboE,rDmKjPqcjjI,1
9e3KJnHBboE,AQm4UXCJzIw,1
9e3KJnHBboE,dHlc6fiiXwA,1
9e3KJnHBboE,DWPia79SoPg,1
9e3KJnHBboE,ACuNSJCIOnI,1
9e3KJnHBboE,n3hVA5Luv84,1
-ica9Wn7470,6yq1sO8hTQ0,1
-ica9Wn7470,A1uYhkMRLWg,1
-ica9Wn7470,NuE-2yHiCm0,1
qbSjk6oGg9s,9e3KJnHBboE,4
qbSjk6oGg9s,6yq1sO8hTQ0,1
qbSjk6oGg9s,-PHcdn8R4d4,1
qbSjk6oGg9s,DTvS9lvRxZ8,1
qbSjk6oGg9s,cUzklzVXJwo,1
qbSjk6oGg9s,DbgGFxYcmZ0,1
qbSjk6oGg9s,LxkbHKNKMwk,1
qbSjk6oGg9s,C6Vz5ENORiw,2
qbSjk6oGg9s,Yt-SBT7nNfU,2
qbSjk6oGg9s,OM2UpLIpRhI,2
qbSjk6oGg9s,FQIDff1G1JQ,1
qbSjk6oGg9s,8uoro9PoOyM,1
YtQTxjIsNY8,qbSjk6oGg9s,1
YtQTxjIsNY8,vUO3a1XSNCU,1
YtQTxjIsNY8,Gk8Gp7aQyYs,1
vUO3a1XSNCU,GoAA0sYkLI0,1
vUO3a1XSNCU,-hjhJUGWmNo,1
vUO3a1XSNCU,Au_MkoCkIDg,1
Gk8Gp7aQyYs,T8zcHSkCrr8,1
Gk8Gp7aQyYs,6yq1sO8hTQ0,1
Gk8Gp7aQyYs,pNeUVndZoLA,1
DbgGFxYcmZ0,6yq1sO8hTQ0,1
DbgGFxYcmZ0,PP93SV7SBMk,1
DbgGFxYcmZ0,9e3KJnHBboE,1
PP93SV7SBMk,Qdvr-gcgyFI,1
PP93SV7SBMk,h4T_LlK1VE4,1
PP93SV7SBMk,fILkvwbSQiU,1
LxkbHKNKMwk,QgNu241Han4,1
LxkbHKNKMwk,FbNT01-ORnU,1
LxkbHKNKMwk,xOkuaRNzFT8,1
QgNu241Han4,B0952ajY0PM,1
QgNu241Han4,VgVfdAswkrc,1
QgNu241Han4,bQ-DPlT9lVk,1
FbNT01-ORnU,xOkuaRNzFT8,2
FbNT01-ORnU,3KmOE2coQEQ,1
FbNT01-ORnU,-u_K7O9csuA,2
FbNT01-ORnU,dLbzeih-0wQ,1
xOkuaRNzFT8,X2mVL_trjmo,2
xOkuaRNzFT8,cyOd05PUix4,2
xOkuaRNzFT8,Ucn2viZB5iY,1
xOkuaRNzFT8,vl7slVibMYo,1
xOkuaRNzFT8,79ExQWKb2vA,1
xOkuaRNzFT8,tzoGTQXBATM,2
xOkuaRNzFT8,FbNT01-ORnU,1
xOkuaRNzFT8,-u_K7O9csuA,1
xOkuaRNzFT8,oQA7r17FyTk,1
-u_K7O9csuA,K-YUYX33VsM,1
-u_K7O9csuA,FbNT01-ORnU,2
-u_K7O9csuA,vTQ2YpXxAsQ,2
-u_K7O9csuA,Y8vVpbC7zaQ,1
-u_K7O9csuA,58lfaMFUQc0,1
-u_K7O9csuA,xOkuaRNzFT8,1
-u_K7O9csuA,GGp08YB4mao,1
cyOd05PUix4,st8dkGzJWtg,1
cyOd05PUix4,kQ7BuYKVknE,1
cyOd05PUix4,XVTn6wI4g6s,1
DWPia79SoPg,6yq1sO8hTQ0,3
DWPia79SoPg,9e3KJnHBboE,1
DWPia79SoPg,gPsw0afmCfs,1
DWPia79SoPg,qbSjk6oGg9s,1
DWPia79SoPg,fUznAo3ccbs,1
DWPia79SoPg,C6Vz5ENORiw,1
DWPia79SoPg,2ZEYAOdDPNA,1
setn9NsNXBw,Eh9vApMZnbk,1
setn9NsNXBw,TJ3M-2z_FVo,2
setn9NsNXBw,-MhJd1-83dM,1
setn9NsNXBw,WtL6pi-Rcwc,1
setn9NsNXBw,igOVKR-p8Cw,2
setn9NsNXBw,QGpNdXxnAy0,1
setn9NsNXBw,o5fdhfVrg1I,1
Eh9vApMZnbk,OWDcxxLTjS4,1
Eh9vApMZnbk,rkufM433cRU,1
Eh9vApMZnbk,kM464Vr4atw,1
OWDcxxLTjS4,-MhJd1-83dM,1
OWDcxxLTjS4,omS_4xxVqFA,1
OWDcxxLTjS4,DRxvq0R6S5w,1
OWDcxxLTjS4,Eh9vApMZnbk,1
OWDcxxLTjS4,xpUcZXiKtfU,1
OWDcxxLTjS4,AXWnzIRgvFk,1
-MhJd1-83dM,4ts8IWcxKRw,3
-MhJd1-83dM,ZQGFr_AMG9A,1
-MhJd1-83dM,lZ0aRpuOaBQ,2
-MhJd1-83dM,yK-Uz-bJwv0,1
-MhJd1-83dM,uuDZA0qaE7g,1
-MhJd1-83dM,orrOpW0dmiw,2
-MhJd1-83dM,u7FG8_qsxC8,1
-MhJd1-83dM,wK8J17Xpf4E,1
-MhJd1-83dM,Qn2anexHPiI,5
-MhJd1-83dM,FGNQ6Kq8zjk,1
-MhJd1-83dM,K8JXjgLoFR8,1
-MhJd1-83dM,TuOHd6eUbGY,2
-MhJd1-83dM,8hWFeGS2xiE,1
-MhJd1-83dM,YUTfJRNDOA8,1
-MhJd1-83dM,9z5CwqNwkKE,1
-MhJd1-83dM,setn9NsNXBw,2
-MhJd1-83dM,bQWZZehXBD8,1
4ts8IWcxKRw,lUUHG4QDVEQ,1
4ts8IWcxKRw,gBWNd0TMjZg,1
4ts8IWcxKRw,Qv_sB1uzEUc,1
ZQGFr_AMG9A,K8JXjgLoFR8,1
ZQGFr_AMG9A,OWDcxxLTjS4,1
ZQGFr_AMG9A,-MhJd1-83dM,1
ZQGFr_AMG9A,VAjNyn7Rp38,1
ZQGFr_AMG9A,fDN9FVrlU24,1
ZQGFr_AMG9A,wK8J17Xpf4E,1
omS_4xxVqFA,SBK4SCnQPyc,1
omS_4xxVqFA,Vz0QWweKVPs,1
omS_4xxVqFA,tNBm4DRTDLQ,1
omS_4xxVqFA,NnWEUlagOnQ,1
omS_4xxVqFA,mVoWq-TEd8I,1
omS_4xxVqFA,-MhJd1-83dM,1
DRxvq0R6S5w,uOmh09d5hBI,1
DRxvq0R6S5w,9z5CwqNwkKE,1
DRxvq0R6S5w,XZJSMPz95KI,1
9z5CwqNwkKE,-u_K7O9csuA,1
9z5CwqNwkKE,qbSjk6oGg9s,1
9z5CwqNwkKE,tOJbuKyAqOw,1
rkufM433cRU,eCyF7kJ3P1U,2
rkufM433cRU,-MhJd1-83dM,1
