Id;Genre;Probabilities
-6DLT9MHO4M;Education; {'29': 0.15000000000000002, '27': 0.525, '24': 0.1, '25': 0.625, '22': 0.07500000000000001, '28': 0.025}
EJMGihBTUJs;News & Politics; {'27': 0.19999999999999998, '25': 0.6285714285714284, '24': 0.07142857142857142, '29': 0.12857142857142856, '28': 0.05714285714285715, '22': 0.05714285714285715}
KYElgSiuhzE;News & Politics; {'25': 0.7999999999999998, '17': 0.06666666666666667, '22': 0.03333333333333333, '28': 0.03333333333333333, '27': 0.06666666666666667}
q4zZ2ker1iI;News & Politics; {'22': 0.12888888888888891, '27': 0.8133333333333331, '25': 0.09000000000000001, '28': 0.05444444444444444, '29': 0.013333333333333334, '26': 0.06111111111111111, '24': 0.03888888888888889, '17': 0.022222222222222223}
fFFSKedy9f4;Education; {'27': 0.43333333333333335, '25': 0.3444444444444444, '22': 0.15555555555555556, '24': 0.05000000000000001, '28': 0.016666666666666666}
_wbS_todg9w;Entertainment; {'24': 0.6, '23': 0.1, '27': 0.2, '22': 0.1}
I2EmHpYrHs4;Entertainment; {'24': 0.9999999999999999}
-US3LtdhKSQ;Entertainment; {'24': 0.5, '27': 0.1, '23': 0.30000000000000004, '1': 0.1}
_jlXQ7aNEb8;Education; {'27': 0.7999999999999999, '22': 0.1, '24': 0.1}
Ucn2viZB5iY;News & Politics; {'25': 0.55, '28': 0.15000000000000002, '27': 0.1, '22': 0.1, '26': 0.05, '2': 0.05}
fIEKfr9CaZA;Education; {'27': 0.8499999999999999, '26': 0.1, '25': 0.05}
MnUfXYGtT5Q;Education; {'26': 0.05, '25': 0.1375, '27': 0.625, '22': 0.15000000000000002, '28': 0.0125, '29': 0.025}
-5RCmu-HuTg;Howto & Style; {'27': 0.6, '25': 0.2333333333333333, '22': 0.10000000000000002, '28': 0.06666666666666667}
VIANLddo-ec;Education; {'25': 0.1, '27': 0.7, '26': 0.1, '22': 0.1}
osUTMnDFV30;Science & Technology; {'28': 0.6361111111111111, '27': 0.2805555555555555, '2': 0.025000000000000005, '26': 0.030555555555555558, '17': 0.016666666666666666, '24': 0.024999999999999998, '20': 0.005555555555555556, '10': 0.008333333333333335}
sLqXFF8mlEU;Education; {'27': 0.45, '20': 0.15000000000000002, '28': 0.2, '17': 0.05, '26': 0.1, '10': 0.05}
1-KbvsSNZm8;Sports; {'17': 0.5, '1': 0.1, '27': 0.1, '2': 0.1, '22': 0.1, '28': 0.1}
dS8TuTRJZ2A;Education; {'27': 0.30000000000000004, '20': 0.6, '28': 0.1}
4fxdCOtPs-0;Gaming; {'20': 1.225, '27': 0.025, '24': 0.06249999999999999}
SjJulcvTA7Y;Science & Technology; {'28': 0.8999999999999999, '2': 0.05, '26': 0.05}
1MkrNVic7pw;Science & Technology; {'28': 0.75, '17': 0.1, '24': 0.1, '26': 0.05}
u7JnoRy2vng;Science & Technology; {'28': 0.7999999999999999, '27': 0.1, '24': 0.1}
52d0TmmQ5yI;Science & Technology; {'28': 0.6, '2': 0.30000000000000004, '26': 0.1}
GTxb6KaJOSI;Autos & Vehicles; {'2': 0.6499999999999999, '22': 0.1, '26': 0.125, '28': 0.07500000000000001, '24': 0.025, '15': 0.025}
oTCal8LjYTk;Science & Technology; {'26': 0.30000000000000004, '28': 0.6, '24': 0.1}
_4TGb3MsSjE;Science & Technology; {'28': 0.7333333333333333, '22': 0.13333333333333333, '26': 0.10000000000000002, '27': 0.03333333333333333}
DTvS9lvRxZ8;Science & Technology; {'28': 0.7607142857142856, '24': 0.1, '17': 0.05, '15': 0.0035714285714285718, '26': 0.0035714285714285718, '20': 0.028571428571428574, '22': 0.053571428571428575}
VrKW58MS12g;Science & Technology; {'28': 0.6, '24': 0.2, '27': 0.1, '22': 0.1}
h4T_LlK1VE4;Science & Technology; {'28': 0.7999999999999999, '24': 0.2}
Bo3JAkjnLyk;People & Blogs; {'22': 0.7, '24': 0.2, '20': 0.1}
T1KRQ3RcvXA;Science & Technology; {'26': 0.1, '28': 0.7, '24': 0.2}
vePc5V4h_kg;Science & Technology; {'28': 0.6, '24': 0.30000000000000004, '20': 0.1}
qhSrSeiUXkQ;Gaming; {'20': 0.8999999999999999, '1': 0.1}
J-sMBdJyclo;Entertainment; {'24': 0.8999999999999999, '17': 0.1}
wyBimQmMZMo;Sports; {'17': 0.5, '28': 0.16666666666666666, '24': 0.2333333333333333, '27': 0.03333333333333333, '1': 0.03333333333333333, '23': 0.03333333333333333}
tqQyGLe68KM;Sports; {'17': 0.7, '26': 0.30000000000000004}
UqycqI89sAo;Entertainment; {'17': 0.17222222222222225, '24': 0.5166666666666667, '28': 0.1, '27': 0.12777777777777777, '23': 0.08333333333333334}
hx0UmbytucA;Sports; {'17': 0.4, '24': 0.2, '26': 0.1, '28': 0.2, '2': 0.1}
